NOMBRE	EXPEDIENTE
CORPORACION ECUATORIANA DE ALIMENTOS Y BEBIDAS CORPABE S.A.	143396
IMPORTACIONES VENTURA IMPOVENTURA C.A.	717360
INDUSTRIAL MOLINERA CA	2411
EMPACADORA CRUSTAMAR S.A. ''EMPACRUSA''	2295
BIOALIMENTAR CIA. LTDA.	37537
PARDALISERVICES S.A.	143420
PRODUCTOS PARAISO DEL ECUADOR C.L.	1741
AMERICAN AIRLINES INC.	46605
TECNOVA S.A.	3934
ALPINA PRODUCTOS ALIMENTICIOS ALPIECUADOR S.A.	49292
CORPORACION JCEVCORP CIA. LTDA.	31969
NOVARTIS ECUADOR S.A.	1921
REYLACTEOS C.L.	715220
QATAR AIRWAYS Q.C.S.C.	711557
TOYOCOSTA S.A.	720358
SERVIENTREGA ECUADOR S.A.	70388
MUNDO DEPORTIVO MEDEPORT S.A.	156513
CONCESIONARIA NORTE CONORTE S.A.	82932
ARCGOLD DEL ECUADOR S.A.	49495
GUAYATUNA S.A.	110660
IMPORDENIM IMPORTADORA TEXTIL CIA. LTDA.	150711
SWISSOIL DEL ECUADOR S.A. (SWISSOIL)	135363
VICUNHA ECUADOR S.A.	533
INDUSTRIA ECUATORIANA PRODUCTORA DE ALIMENTOS CA INEPACA	636
PALMERAS DEL ECUADOR SA	7293
BANANO Y FRUTAS TROPICALES DE CALIDAD PARA EL MUNDO FRUTICAL S. A.	63121
ECO-KAKAO S.A.	62743
PEPSICO ALIMENTOS ECUADOR CIA. LTDA.	12489
JOHNSON & JOHNSON DEL ECUADOR SA	40326
BAKER HUGHES SERVICES INTERNATIONAL S.A.S.	85799
AGLOMERADOS COTOPAXI SOCIEDAD ANONIMA	7210
FORTIDEX S.A.	78334
INVERNEG S.A.	25950
PUNTONET S.A.	48928
TELEVISION Y VENTAS TELEVENT S.A.	46251
NATLUK S.A.	108261
NEGOCIOS Y TELEFONIA (NEDETEL) S.A.	103465
GENTE OIL ECUADOR PTE.LTD.	169201
DELI INTERNACIONAL S.A.,	157271
SIGMAPLAST S.A.	15566
INDUSTRIA DE ALIMENTOS LA EUROPEA CIA. LTDA.	30513
AVICOLA PEREIRA S.A. AVICOPERE	148002
LINDE ECUADOR S.A.	138
INTERAMERICANA DE PRODUCTOS QUIMICOS DEL ECUADOR S.A. INTERQUIMEC	1968
CONSORCIO URVASEO	725845
ECUABEIBEN CIA. LTDA.	176946
HIVIMAR S.A.	20719
TECHNOFILM S.A.	709261
HEINEKEN ECUADOR S.A.	75346
GODPROEX PRODUCTORA Y EXPORTADORA S.A.	712055
DURALUM S.A.	164663
PCC CONGELADOS & FRESCOS S.A.S.	38720
INDUSUR INDUSTRIAL DEL SUR SA	41271
BASF ECUATORIANA SA	4219
INTERNATIONAL LABORATORIES SERVICES INTERLAB S.A.	74721
UTOPIA FARMS UTF S.A.S.	729980
CORPORACION JARRIN HERRERA CIA. LTDA.	6819
PUERTOMAR S.A.	139004
CONORQUE CIA. LTDA.	164853
TAMPA CARGO S.A.S.	47759
AUTOLIDER ECUADOR S.A.S.	167881
QUIMICA INDUSTRIAL MONTALVO AGUILAR QUIMASA S.A.	15737
EMPRESA DURINI INDUSTRIA DE MADERA CA EDIMCA	465
SQM ECUADOR S.A.	48577
LOGISTICA BANANERA S.A. LOGBAN	142358
COMISARIATO DEL CONSTRUCTOR S.A. COMITRUCTOR	138351
IMBAUTO S.A	45594
SIMED S.A.	16590
COMERCIALIZADORA LEDESMA & LEDESMA AGROGRULED S.A.	300642
INDUSTRIAS ALIMENTICIAS ECUATORIANAS INALECSA S.A.S.	5136
FIRESKY S.A.	135919
BLUE CARGO ECUADOR S.A. BLUCARSA	63855
SERTECPET S.A.	52043
EMIRATES	702388
CHIQUITA BANANA ECUADOR CBBRANDS S.A.	66912
AYMESA S.A.	1447
LABORATORIOS INDUSTRIALES FARMACEUTICOS ECUATORIANOS LIFE	767
SOFTYS ECUADOR S.A.	157864
FRIGORIFICO Y LABORATORIO SAN MATEO, FRIGOLAB SAN MATEO CIA. LTDA.	35171
INPROEL S.A.	20372
TUCHOK S.A.	126054
SEMVRA-ECUADOR S.A.	107224
PICHINCHA SISTEMAS ACOVI CA	45578
UNIVERSAL SWEET INDUSTRIES S.A.	120585
AUTOSHARECORP S.A.	136378
CRISTALERIA DEL ECUADOR S.A. (CRIDESA)	4312
OBSA ORO BANANA S.A.	4935
SOLUBLES INSTANTANEOS COMPANIA ANONIMA (S.I.C.A)	3537
RIPCONCIV CONSTRUCCIONES CIVILES CIA. LTDA.	54060
MOSUMI S.A. CEN	735640
GREEN EXPRESS S.A. GREENEXPRESA	137687
AGRICOLA BANANERA ECUATORIANA - AGBE S.A.	711391
PLASTICSACKS CIA. LTDA.	151630
SODERAL SOCIEDAD DE DESTILACION DE ALCOHOLES S.A.	67697
INDUSTRIA ECUATORIANA DE CABLES INCABLE S.A.	19778
SHEMLON S.A.	156296
ESTRUCTURAS CCKLAERE S.A.	725475
CONCESIONARIA DEL GUAYAS CONCEGUA S.A.	82921
TRANSPORTES NOROCCIDENTAL CIA. LTDA.	51050
SOLVESA ECUADOR S.A.	44055
PLASTICOS DEL LITORAL PLASTLIT S.A.	4796
ESCULAPIO S.A.S.	3508
SERVICIOS WFSE ECUADOR C.L.	2150
PACIFIC SEAFOOD PACIFICSEAFOOD S.A.	311803
LABORATORIO CLINICO ECUA-AMERICAN LAB.E.A. CIA. LTDA.	93135
BALANCEADOS NOVA S.A. BALNOVA	149927
OMNILIFE DEL ECUADOR S.A.	90712
YILPORT TERMINAL OPERATIONS (YILPORTECU) S.A.	708661
IBM DEL ECUADOR C.A.	2227
TRANSFERUNION S.A.	70434
SIKA ECUATORIANA SA	45566
PETROLEOS SUD AMERICANOS DEL ECUADOR PETROLAMEREC S.A.	87585
PAT PRIMO ECUADOR COMERCIALIZADORA S.A.	47950
SOCIEDAD ANONIMA IMPORTADORA ANDINA S.A.I.A.	984
EMPACADORA BILBO S.A. BILBOSA	34175
LAMINADOS Y TEXTILES LAMITEX S. A.	30927
DUOCELL S.A.	36660
FRESKBANA S.A.	176638
''TYAZHMASH'' S.A.	143051
NOVISOLUTIONS CIA. LTDA.	97726
ENERGY & PALMA ENERGYPALMA S.A.	95597
ORIENTAL INDUSTRIA ALIMENTICIA ''O.I.A.'' S.A.	106517
LEVAPAN DEL ECUADOR SA	773
GLAXOSMITHKLINE ECUADOR S.A.	45300
NAPORTEC S.A.	108369
SOCIEDAD INDUSTRIAL GANADERA ELORDEÑO S.A.	90332
BANABIO S.A.	97350
ECOFROZ S.A.	49122
GRUPO DEGFER CIA. LTDA.	144167
BEST DOCTORS S.A. EMPRESA DE MEDICINA PREPAGADA	131679
CORPORACION DISTRIBUIDORA DE ALIMENTOS S.A. CORDIALSA	48837
PALMERAS DE LOS ANDES SA	1833
GALARMOBIL S.A.	128711
NEFROCONTROL S.A.	86099
INMOBILIARIA MOTKE S.A.	56871
DITECA S.A.	69919
YARECUADOR CIA. LTDA.	122529
EQUINOX ECUADOR S.A.	16564
CONSTRUMERCADO S.A.	9304
CORPORACIÓN HVQ S.A.	712216
GRANDSOUTH S.A.	709022
CONFIAMED S.A.	162635
INTERMEDIARIA DE VENTAS SUPER BAHIA SUBAHI SOCIEDAD ANONIMA	66281
DULCAFE S.A.	99671
TETRA PAK CIA. LTDA.	28698
ADHEPLAST S.A	30861
BARRY CALLEBAUT ECUADOR S. A.	131752
FARMAYALA PHARMACEUTICAL COMPANY S.A. (FPC)	3357
PRODUCTORA AVICOLA CEVALLOS PROAVICEA CIA. LTDA.	156084
COMPANIA EMPACADORA DUFER CIA. LTDA.	35124
ACROMAX LABORATORIO QUIMICO FARMACEUTICO SA	4134
EL HIERRO S.A.	6137
FALCONFARMS DE ECUADOR S.A.	47475
DHL EXPRESS (ECUADOR) S.A.	8092
AGROINDUSTRIAS ARRIBA DEL ECUADOR AGROARRIBA S.A.	148781
CERAMICA RIALTO SA	6073
BOEHRINGER INGELHEIM DEL ECUADOR CIA LTDA	12943
DISTRIBUIDORA ROMERO - REYES S.A.	111078
PACFISH S.A.	102197
DISOR DISTRIBUIDORES DEL ORIENTE CIA. LTDA.	51044
MAREAUTO S.A.	48638
AROMAS Y SABORES DEL ECUADOR AROMACACAO S.A.	706107
TRANSMARINA CA	19582
3M ECUADOR CA	1163
WÄRTSILÄ ECUADOR S.A.	49645
MULTIMETALES S.A.	101335
ACEROSCENTER CIA. LTDA	89221
FILTROCORP S.A.	82964
SUPERCINES S.A.	98719
ELECTROLEG S.A.	65190
OLEODAVILA S.A.	48972
COMPANIA VERDU SA	7351
PROVEFARMA S.A.	46670
ELECTROLUX C.A.	46086
TIPTI S.A.	708860
BASESURCORP S.A.	72725
EXPORBANANAS S.A.	313509
AUTOHYUN S.A.	33692
HOSPITAL DE LOS VALLES S.A. HODEVALLES	47412
HIDROALTO GENERACION DE ENERGIA S.A.	145677
FLORICOLA SAN ISIDRO LABRADOR FLORSANI S.A.S.	156712
INDUSTRIA CARTONERA ECUATORIANA S.A.	3634
HULARUSS CIA. LTDA.	140661
DENMAR SA	46745
CISNEROS INTERACTIVE ECUADOR CISTERACTEC S.A.	710938
PROFERMACO CIA. LTDA	91883
DSV-AIR&SEA S.A.	45420
FRESENIUS KABI S.A.	71961
IMPRENTA MARISCAL CIA LTDA	11977
CORPORACION JAVE S.A.	102536
TRANSPORTADORA ECUATORIANA DE VALORES TEVCOL CIA. LTDA.	10000
CONFITECA C.A.	63
TECNOQUIMICAS DEL ECUADOR S.A.	85688
GINAFRUIT S.A.	38707
FARMACIAS KEYLA S.A. FARMAKEYLA	149368
CAMARONERA ESCALANTE SA	40493
ECUATORIANA DE SAL Y PRODUCTOS QUIMICOS CA (ECUASAL)	3769
DPWORLD POSORJA S.A.	707891
MEGAPRODUCTOS S.A.	99434
PROMOPESCA S.A.	105678
GETTAREQ S.A.	172730
COLINEAL CORPORATION CIA. LTDA.	30984
PETRORIVA S.A.	87590
SERVICIOS INTEGRADOS PAÑATURI S.A.	179498
AVIPAZ CIA. LTDA.	37607
IVAN BOHMAN C.A.	20416
FRUTA RICA FRUTARIC S.A.	38492
TRIBOILGAS CIA. LTDA.	53848
SUEÑOS DE LOS ANDES BOUQUETANDES SOCIEDAD ANÓNIMA	151301
ECUADOR OVERSEAS AGENCIES C.A.	2497
QUICORNAC S.A.	56981
